Year,Winner,Runner Up,Final Match Venue,Captain,Teams,Player of the Series,Man of the Match
2024,Kolkata Knight Riders,Sunrisers Hyderabad,Chennai,Shreyas Iyer,10,,
2023,Chennai Super Kings, Gujarat Titans, Ahmedabad,MS Dhoni,10, Shubman Gill, Devon Conway
2022,Gujarat Titans,Rajasthan Royals ,Ahmedabad,Hardik Pandya,10,Jos Buttler,Hardik Pandya
2021,Chennai Super Kings,Kolkata Knight Riders,Dubai,MS Dhoni,8,Harshal Patel,Faf du Plessis
2020,Mumbai Indians,Delhi Capitals,Dubai,Rohit Sharma,8,Jofra Archer,Trent Boult
2019,Mumbai Indians,Chennai Super Kings,Hyderabad,Rohit Sharma,8,Andre Russell,Jasprit Bumrah
2018,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,MS Dhoni,8,Sunil Narine,Shane Watson
2017,Mumbai Indians,Rising Pune Supergiants,Hyderabad,Rohit Sharma,8,Ben Stokes,Krunal Pandya
2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,David Warner,8,Virat Kohli,Ben Cutting
2015,Mumbai Indians,Chennai Super Kings,Kolkata,Rohit Sharma,8,Andre Russell,Rohit Sharma
2014,Kolkata Knight Riders,Kings XI Punjab,Bangalore,Gautam Gambhir,8,Glenn Maxwell,Manish Pandey
2013,Mumbai Indians,Chennai Super Kings,Kolkata,Rohit Sharma,9,Shane Watson,Kieron Pollard
2012,Kolkata Knight Riders,Chennai Super Kings,Chennai,Gautam Gambhir,9,Sunil Narine,Manvinder Bisla
2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai,MS Dhoni,10,Chris Gayle,Murali Vijay
2010,Chennai Super Kings,Mumbai Indians,Mumbai,MS Dhoni,8,Sachin Tendulkar,Suresh Raina
2009,Deccan Chargers,Royal Challengers Bangalore,Johhanesburg,Adam Gilchrist,8,Adam Gilchrist,Anil Kumble
2008,Rajasthan Royals,Chennai Super Kings,Mumbai,Shane Warne,8,Shane Watson,Yusuf Pathan
